GPT-香港,#genre#
爱尔达体育2台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltasport2_twn&token=mayuanqing1971
爱尔达体育3台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltasport3_twn&token=mayuanqing1971
非凡新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=feifannews_twn&token=mayuanqing1971
年代新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=niandainews_twn&token=mayuanqing1971
龙华戏剧,https://4gtv.yq123456.dpdns.org/smart.php?id=lunghuaxiju_twn&token=mayuanqing1971
龙华偶像,https://4gtv.yq123456.dpdns.org/smart.php?id=lunghuaidol_twn&token=mayuanqing1971
龙华电影,https://4gtv.yq123456.dpdns.org/smart.php?id=xingwei_movie&token=mayuanqing1971
龙华洋片,https://4gtv.yq123456.dpdns.org/smart.php?id=lunghuawestern_twn&token=mayuanqing1971
龙华经典,https://4gtv.yq123456.dpdns.org/smart.php?id=lunghuajingdian_twn&token=mayuanqing1971
靖天国际,https://4gtv.yq123456.dpdns.org/smart.php?id=jingtianintl_twn&token=mayuanqing1971
靖天卡通,https://4gtv.yq123456.dpdns.org/smart.php?id=jingtiancartoon_twn&token=mayuanqing1971
大愛電視,https://4gtv.yq123456.dpdns.org/smart.php?id=daai_twn&token=mayuanqing1971
大愛二台,https://4gtv.yq123456.dpdns.org/smart.php?id=daai2_twn&token=mayuanqing1971
EYE 旅游台,https://4gtv.yq123456.dpdns.org/smart.php?id=eyetvtravel_twn&token=mayuanqing1971
EYE 戏剧台,https://4gtv.yq123456.dpdns.org/smart.php?id=eyetvxiju_twn&token=mayuanqing1971
亚洲美食,https://4gtv.yq123456.dpdns.org/smart.php?id=afc_twn&token=mayuanqing1971
美食星球,https://4gtv.yq123456.dpdns.org/smart.php?id=foodplanet_twn&token=mayuanqing1971
TLC旅遊生活,https://4gtv.yq123456.dpdns.org/smart.php?id=tlc_twn&token=mayuanqing1971
亚洲旅游台,https://4gtv.yq123456.dpdns.org/smart.php?id=asiatravel_twn&token=mayuanqing1971
Arirang,https://4gtv.yq123456.dpdns.org/smart.php?id=arirang_twn&token=mayuanqing1971
AXN Taiwan,https://4gtv.yq123456.dpdns.org/smart.php?id=axn_twn&token=mayuanqing1971
MTV Live,https://4gtv.yq123456.dpdns.org/smart.php?id=mtvhd_twn&token=mayuanqing1971
HBO_HD,https://4gtv.yq123456.dpdns.org/smart.php?id=hbohd_twn&token=mayuanqing1971
HBO_HITS,https://4gtv.yq123456.dpdns.org/smart.php?id=hbohit_twn&token=mayuanqing1971
CINEMAX,https://4gtv.yq123456.dpdns.org/smart.php?id=cinemax_twn&token=mayuanqing1971
好萊塢電影台,https://4gtv.yq123456.dpdns.org/smart.php?id=hollywoodmovies_twn&token=mayuanqing1971
卫视电影台,https://4gtv.yq123456.dpdns.org/smart.php?id=weishimovie_twn&token=mayuanqing1971
龙祥时代,https://4gtv.yq123456.dpdns.org/smart.php?id=lungxiangtime_twn&token=mayuanqing1971
美亚电影,https://4gtv.yq123456.dpdns.org/smart.php?id=meiyamovie_twn&token=mayuanqing1971
華藝綜合,https://4gtv.yq123456.dpdns.org/smart.php?id=weishichinese_twn&token=mayuanqing1971
博斯运动一台,https://4gtv.yq123456.dpdns.org/smart.php?id=bosisport1_twn&token=mayuanqing1971
博斯运动二台,https://4gtv.yq123456.dpdns.org/smart.php?id=bosisport2_twn&token=mayuanqing1971
博斯高球一台,https://4gtv.yq123456.dpdns.org/smart.php?id=bosigolf1_twn&token=mayuanqing1971
博斯高球二台,https://4gtv.yq123456.dpdns.org/smart.php?id=bosigolf2_twn&token=mayuanqing1971
博斯网球台,https://4gtv.yq123456.dpdns.org/smart.php?id=bositennis_twn&token=mayuanqing1971
博斯无限台,https://4gtv.yq123456.dpdns.org/smart.php?id=bosiunlimited_twn&token=mayuanqing1971
好消息 2,https://4gtv.yq123456.dpdns.org/smart.php?id=good2_twn&token=mayuanqing1971
GPT-央视,#genre#
CCTV-1 综合,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv1&token=mayuanqing1971
CCTV-2 财经,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv2&token=mayuanqing1971
CCTV-3 综艺,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv3&token=mayuanqing1971
CCTV-4 中文国际,https://4gtv.yq123456.dpdns.org/smart.php?id=Cctv4&token=mayuanqing1971
CCTV-4 中文国际,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv4&token=mayuanqing1971
CCTV-5 体育,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv5&token=mayuanqing1971
CCTV-6 电影,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv6&token=mayuanqing1971
CCTV-7 国防军事,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv7&token=mayuanqing1971
CCTV-8 电视剧,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv8hd&token=mayuanqing1971
CCTV-9 记录,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv9hd&token=mayuanqing1971
CCTV-10 科教,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv10hd&token=mayuanqing1971
CCTV-11 戏曲,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv11&token=mayuanqing1971
CCTV-12 社会与法,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv12&token=mayuanqing1971
CCTV-13 新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv13&token=mayuanqing1971
CCTV-14 少儿,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv14&token=mayuanqing1971
CCTV-15 音乐,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv15&token=mayuanqing1971
CCTV-16 奥林匹克,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv16&token=mayuanqing1971
CCTV-17 农业农村,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv17&token=mayuanqing1971
CCTV-5+ 体育赛事,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv5plus&token=mayuanqing1971
湖南卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=hunan_twn&token=mayuanqing1971
浙江卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=zhejiang_twn&token=mayuanqing1971
江苏卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=jiangsu_twn&token=mayuanqing1971
东方卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=dongfangweishi_twn&token=mayuanqing1971
北京卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=beijing&token=mayuanqing1971
深圳卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=shenzhen&token=mayuanqing1971
广东卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=guangdongweishi_twn&token=mayuanqing1971
大湾区卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=nanfang_twn&token=mayuanqing1971
珠江台,https://4gtv.yq123456.dpdns.org/smart.php?id=zhujiang&token=mayuanqing1971
东南卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=fujian&token=mayuanqing1971
广西卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=guangxi&token=mayuanqing1971
湖北卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=hubei&token=mayuanqing1971
四川卫视,https://4gtv.yq123456.dpdns.org/smart.php?id=sichuan_twn&token=mayuanqing1971
CGTN,https://4gtv.yq123456.dpdns.org/smart.php?id=CGTN&token=mayuanqing1971
GPT-电影,#genre#
CCTV-6,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv6&token=mayuanqing1971
AXN Taiwan,https://4gtv.yq123456.dpdns.org/smart.php?id=axn_twn&token=mayuanqing1971
HBO_HD,https://4gtv.yq123456.dpdns.org/smart.php?id=hbohd_twn&token=mayuanqing1971
HBO_HITS,https://4gtv.yq123456.dpdns.org/smart.php?id=hbohit_twn&token=mayuanqing1971
CINEMAX,https://4gtv.yq123456.dpdns.org/smart.php?id=cinemax_twn&token=mayuanqing1971
好萊塢電影台,https://4gtv.yq123456.dpdns.org/smart.php?id=hollywoodmovies_twn&token=mayuanqing1971
东森电影,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvmovie&token=mayuanqing1971
东森洋片,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvwestern&token=mayuanqing1971
龙华电影,https://4gtv.yq123456.dpdns.org/smart.php?id=xingwei_movie&token=mayuanqing1971
龙华洋片,https://4gtv.yq123456.dpdns.org/smart.php?id=lunghuawestern_twn&token=mayuanqing1971
龙祥时代,https://4gtv.yq123456.dpdns.org/smart.php?id=lungxiangtime_twn&token=mayuanqing1971
美亚电影,https://4gtv.yq123456.dpdns.org/smart.php?id=meiyamovie_twn&token=mayuanqing1971
卫视电影台,https://4gtv.yq123456.dpdns.org/smart.php?id=weishimovie_twn&token=mayuanqing1971
天映频道,https://4gtv.yq123456.dpdns.org/smart.php?id=Celestial&token=mayuanqing1971
天映频道,https://4gtv.yq123456.dpdns.org/smart.php?id=Celestialindo&token=mayuanqing1971
天映经典,https://4gtv.yq123456.dpdns.org/smart.php?id=Celestial2&token=mayuanqing1971
Animax,https://4gtv.yq123456.dpdns.org/smart.php?id=Animax&token=mayuanqing1971
Movies Now HD,https://4gtv.yq123456.dpdns.org/smart.php?id=moviesnow_raj&token=mayuanqing1971
Star Movies HD,https://4gtv.yq123456.dpdns.org/smart.php?id=starmovies_raj&token=mayuanqing1971
Hits,https://4gtv.yq123456.dpdns.org/smart.php?id=Hits&token=mayuanqing1971
Warner TV,https://4gtv.yq123456.dpdns.org/smart.php?id=WarnerTV&token=mayuanqing1971
HBO HD,https://4gtv.yq123456.dpdns.org/smart.php?id=Hbo&token=mayuanqing1971
HBO Signature,https://4gtv.yq123456.dpdns.org/smart.php?id=Hbosignature&token=mayuanqing1971
HBO Family,https://4gtv.yq123456.dpdns.org/smart.php?id=Hbofamily&token=mayuanqing1971
HBO Hits,https://4gtv.yq123456.dpdns.org/smart.php?id=Hbohitshd&token=mayuanqing1971
Cinemax,https://4gtv.yq123456.dpdns.org/smart.php?id=Cinemax&token=mayuanqing1971
Dreamworks,https://4gtv.yq123456.dpdns.org/smart.php?id=Dreamworks&token=mayuanqing1971
SCM,https://4gtv.yq123456.dpdns.org/smart.php?id=Weishimovie&token=mayuanqing1971
Thrill,https://4gtv.yq123456.dpdns.org/smart.php?id=Thrill&token=mayuanqing1971
Hits Movie,https://4gtv.yq123456.dpdns.org/smart.php?id=Hitsmovie&token=mayuanqing1971
One,https://4gtv.yq123456.dpdns.org/smart.php?id=One&token=mayuanqing1971
tvN Movie,https://4gtv.yq123456.dpdns.org/smart.php?id=Tvnmovie&token=mayuanqing1971
Axn HD,https://4gtv.yq123456.dpdns.org/smart.php?id=Axn&token=mayuanqing1971
Paramount Network,https://4gtv.yq123456.dpdns.org/smart.php?id=Paramountnetwork&token=mayuanqing1971
Astrol Kplus,https://4gtv.yq123456.dpdns.org/smart.php?id=Kplus&token=mayuanqing1971
Rock Actions,https://4gtv.yq123456.dpdns.org/smart.php?id=Rockaction&token=mayuanqing1971
Rock Entertainment,https://4gtv.yq123456.dpdns.org/smart.php?id=Rockentertain&token=mayuanqing1971
GPT-记录,#genre#
Natgeo_HD,https://4gtv.yq123456.dpdns.org/smart.php?id=natgeohd_twn&token=mayuanqing1971
NatGeo_Wild HD,https://4gtv.yq123456.dpdns.org/smart.php?id=natgeowild_twn&token=mayuanqing1971
Animal_Planet,https://4gtv.yq123456.dpdns.org/smart.php?id=animalplanet_twn&token=mayuanqing1971
Discovery Asia,https://4gtv.yq123456.dpdns.org/smart.php?id=discoverytwn_twn&token=mayuanqing1971
CI,https://4gtv.yq123456.dpdns.org/smart.php?id=ci_twn&token=mayuanqing1971
Asia Travel,https://4gtv.yq123456.dpdns.org/smart.php?id=asiatravel_twn&token=mayuanqing1971
Discovery HD,https://4gtv.yq123456.dpdns.org/smart.php?id=discoveryhd_twn&token=mayuanqing1971
亚洲美食,https://4gtv.yq123456.dpdns.org/smart.php?id=afc_twn&token=mayuanqing1971
美食星球,https://4gtv.yq123456.dpdns.org/smart.php?id=foodplanet_twn&token=mayuanqing1971
亚洲TLC,https://4gtv.yq123456.dpdns.org/smart.php?id=tlc_twn&token=mayuanqing1971
NatGeo HD,https://4gtv.yq123456.dpdns.org/smart.php?id=Natgeo&token=mayuanqing1971
Fashion TV,https://4gtv.yq123456.dpdns.org/smart.php?id=fashiontv_twn&token=mayuanqing1971
History,https://4gtv.yq123456.dpdns.org/smart.php?id=History&token=mayuanqing1971
BBC Earth HD,https://4gtv.yq123456.dpdns.org/smart.php?id=bbcearth_twn&token=mayuanqing1971
BBC Earth Lifestyle,https://4gtv.yq123456.dpdns.org/smart.php?id=bbclifestyle_twn&token=mayuanqing1971
MTV Live,https://4gtv.yq123456.dpdns.org/smart.php?id=mtvhd_twn&token=mayuanqing1971
NatGeo Wild HD,https://4gtv.yq123456.dpdns.org/smart.php?id=Natgeowild&token=mayuanqing1971
Animal Planet (Eng),https://4gtv.yq123456.dpdns.org/smart.php?id=AnimalPlanet&token=mayuanqing1971
TLC,https://4gtv.yq123456.dpdns.org/smart.php?id=Tlc&token=mayuanqing1971
Foodnetwork Hd,https://4gtv.yq123456.dpdns.org/smart.php?id=Foodnetwork&token=mayuanqing1971
HGTV,https://4gtv.yq123456.dpdns.org/smart.php?id=HGTV&token=mayuanqing1971
亚洲旅游台,https://4gtv.yq123456.dpdns.org/smart.php?id=asiatravel_twn&token=mayuanqing1971
GPT-新闻,#genre#
Skynews,https://4gtv.yq123456.dpdns.org/smart.php?id=skynews_twn&token=mayuanqing1971
ABC News,https://4gtv.yq123456.dpdns.org/smart.php?id=abcnews_glo&token=mayuanqing1971
东森财经新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvcaijing_twn&token=mayuanqing1971
CBS HD,https://4gtv.yq123456.dpdns.org/smart.php?id=cbshd_glo&token=mayuanqing1971
CBSN HD,https://4gtv.yq123456.dpdns.org/smart.php?id=cbsn_glo&token=mayuanqing1971
France 24,https://4gtv.yq123456.dpdns.org/smart.php?id=france24_twn&token=mayuanqing1971
DW (Deutsch),https://4gtv.yq123456.dpdns.org/smart.php?id=dw_twn&token=mayuanqing1971
NHK World,https://4gtv.yq123456.dpdns.org/smart.php?id=nhkworld_japan&token=mayuanqing1971
Fox News,https://4gtv.yq123456.dpdns.org/smart.php?id=foxnews_twn&token=mayuanqing1971
CGTN,https://4gtv.yq123456.dpdns.org/smart.php?id=CGTN&token=mayuanqing1971
CNN International,https://4gtv.yq123456.dpdns.org/smart.php?id=Cnn&token=mayuanqing1971
CNN backup,https://4gtv.yq123456.dpdns.org/smart.php?id=cnn_twn&token=mayuanqing1971
CNBC,https://4gtv.yq123456.dpdns.org/smart.php?id=cnbc_twn&token=mayuanqing1971
CNA,https://4gtv.yq123456.dpdns.org/smart.php?id=cna&token=mayuanqing1971
BBC World News,https://4gtv.yq123456.dpdns.org/smart.php?id=bbcnews_twn&token=mayuanqing1971
BBC World News,https://4gtv.yq123456.dpdns.org/smart.php?id=Bbcnews&token=mayuanqing1971
Bloomberg News,https://4gtv.yq123456.dpdns.org/smart.php?id=bloomberg_twn&token=mayuanqing1971
Al-Jazeera,https://4gtv.yq123456.dpdns.org/smart.php?id=aljazeera_twn&token=mayuanqing1971
GPT-儿童,#genre#
Baby TV Eng,https://4gtv.yq123456.dpdns.org/smart.php?id=Babytv&token=mayuanqing1971
CBeebies,https://4gtv.yq123456.dpdns.org/smart.php?id=Cbeebies&token=mayuanqing1971
Kids TV,https://4gtv.yq123456.dpdns.org/smart.php?id=KidsTV&token=mayuanqing1971
Momo TV,https://4gtv.yq123456.dpdns.org/smart.php?id=momo1_twn&token=mayuanqing1971
Animax,https://4gtv.yq123456.dpdns.org/smart.php?id=Animax&token=mayuanqing1971
Baby TV,https://4gtv.yq123456.dpdns.org/smart.php?id=babytv_twn&token=mayuanqing1971
MiaoMi,https://4gtv.yq123456.dpdns.org/smart.php?id=MiaoMi&token=mayuanqing1971
靖天卡通,https://4gtv.yq123456.dpdns.org/smart.php?id=jingtiancartoon_twn&token=mayuanqing1971
东森幼幼,https://4gtv.yq123456.dpdns.org/smart.php?id=yoyo_twn&token=mayuanqing1971
Cartoon Network,https://4gtv.yq123456.dpdns.org/smart.php?id=Cn&token=mayuanqing1971
Nickelodeon,https://4gtv.yq123456.dpdns.org/smart.php?id=Nickelodeon&token=mayuanqing1971
Nick Jr,https://4gtv.yq123456.dpdns.org/smart.php?id=Nickjr&token=mayuanqing1971
GPT-体育,#genre#
Astro Premier League 1,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp1&token=mayuanqing1971
Astro EPL 1 backup,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp1x&token=mayuanqing1971
Astro Premier League 2,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp2&token=mayuanqing1971
Astro Grandstand,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp3&token=mayuanqing1971
Astro Football,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp4&token=mayuanqing1971
Astro Sports Plus,https://4gtv.yq123456.dpdns.org/smart.php?id=go_sportsplus&token=mayuanqing1971
Astro Badminton 1,https://4gtv.yq123456.dpdns.org/smart.php?id=go_badminton1&token=mayuanqing1971
Astro Badminton 2,https://4gtv.yq123456.dpdns.org/smart.php?id=go_badminton2&token=mayuanqing1971
Astro W-Sports,https://4gtv.yq123456.dpdns.org/smart.php?id=go_assp5&token=mayuanqing1971
Supersports 1,https://4gtv.yq123456.dpdns.org/smart.php?id=Assp1&token=mayuanqing1971
Supersports 2,https://4gtv.yq123456.dpdns.org/smart.php?id=Assp2&token=mayuanqing1971
Supersports 3,https://4gtv.yq123456.dpdns.org/smart.php?id=Assp3&token=mayuanqing1971
Supersports 4,https://4gtv.yq123456.dpdns.org/smart.php?id=Assp4&token=mayuanqing1971
WWE,https://4gtv.yq123456.dpdns.org/smart.php?id=Wwe&token=mayuanqing1971
Fight Sports,https://4gtv.yq123456.dpdns.org/smart.php?id=Fs&token=mayuanqing1971
NBA TV,https://4gtv.yq123456.dpdns.org/smart.php?id=Nba&token=mayuanqing1971
Astro Cricket,https://4gtv.yq123456.dpdns.org/smart.php?id=Acricket&token=mayuanqing1971
Astro Golf,https://4gtv.yq123456.dpdns.org/smart.php?id=Agolf&token=mayuanqing1971
Tnt Sports 1,https://4gtv.yq123456.dpdns.org/smart.php?id=6fac0aaead&token=mayuanqing1971
TNT Sports 2,https://4gtv.yq123456.dpdns.org/smart.php?id=d9a76a79cc&token=mayuanqing1971
TNT Sports 3,https://4gtv.yq123456.dpdns.org/smart.php?id=5fea4d73db&token=mayuanqing1971
TNT Sports 4,https://4gtv.yq123456.dpdns.org/smart.php?id=tntsport4&token=mayuanqing1971
Sony Ten 1,https://4gtv.yq123456.dpdns.org/smart.php?id=ten1_raj&token=mayuanqing1971
Sony Ten 2,https://4gtv.yq123456.dpdns.org/smart.php?id=ten2_raj&token=mayuanqing1971
Sony Ten 3,https://4gtv.yq123456.dpdns.org/smart.php?id=ten3_raj&token=mayuanqing1971
SPOTV 1 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=go_spotv&token=mayuanqing1971
SPO TV 2,https://4gtv.yq123456.dpdns.org/smart.php?id=go_spotv2&token=mayuanqing1971
Skysports F1,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongf1&token=mayuanqing1971
Skysports Cricket,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongcricket&token=mayuanqing1971
Skysports EPL,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongepl&token=mayuanqing1971
Skysports Main Event,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongmain&token=mayuanqing1971
Skysports News,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongnews&token=mayuanqing1971
Skysports Mix,https://4gtv.yq123456.dpdns.org/smart.php?id=tiankongmix&token=mayuanqing1971
CCTV-5 体育频道,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv5&token=mayuanqing1971
CCTV-5+ 体育赛事 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=cctv5plus&token=mayuanqing1971
爱尔达体育2台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltasport2_twn&token=mayuanqing1971
爱尔达体育3台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltasport3_twn&token=mayuanqing1971
Rugby Pass TV,https://4gtv.yq123456.dpdns.org/smart.php?id=Rugbypasstv&token=mayuanqing1971
RTM Sports HD,https://4gtv.yq123456.dpdns.org/smart.php?id=Rtmsport&token=mayuanqing1971
Arena,https://4gtv.yq123456.dpdns.org/smart.php?id=Arena&token=mayuanqing1971
Arena 2,https://4gtv.yq123456.dpdns.org/smart.php?id=Arena2&token=mayuanqing1971
BolaArena 1,https://4gtv.yq123456.dpdns.org/smart.php?id=Bolaarena1&token=mayuanqing1971
BolaArena 2,https://4gtv.yq123456.dpdns.org/smart.php?id=Bolaarena2&token=mayuanqing1971
Astro Beinsports 1,https://4gtv.yq123456.dpdns.org/smart.php?id=Astrobein1&token=mayuanqing1971
Astro Beinsports 2,https://4gtv.yq123456.dpdns.org/smart.php?id=Astrobein2&token=mayuanqing1971
Astro Beinsports 3,https://4gtv.yq123456.dpdns.org/smart.php?id=Astrobein3&token=mayuanqing1971
GPT-新加坡,#genre#
Channel 5,https://4gtv.yq123456.dpdns.org/smart.php?id=Channel5HD&token=mayuanqing1971
Channel 8,https://4gtv.yq123456.dpdns.org/smart.php?id=Channel8HD&token=mayuanqing1971
Suria,https://4gtv.yq123456.dpdns.org/smart.php?id=Suria&token=mayuanqing1971
